2016-02-11T14:26:10.8108864Z	Type=Start           	ID=29902   	[esdxgateway] started. Details: [ 
2016-02-11T14:26:10.8108864Z	Type=Start           	ID=29902   	  GatewayWebService => disabled 
2016-02-11T14:26:10.8108864Z	Type=Start           	ID=29902   	  GatewayListener (4.50.14617.0) => started 
2016-02-11T14:26:10.8108864Z	Type=Start           	ID=29902   	  GatewayScheduler (4.50.14617.0) => started 
2016-02-11T14:26:10.8108864Z	Type=Start           	ID=29902   	]
2016-02-11T14:27:23.6168865Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=60; freeC="30963/60.6%"; freeRamMB=3438; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 11 Feb 2016 14:27:22 GMT"; version="4.50.14617.0"; wsetKB=45616]
2016-02-11T14:27:23.6208866Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	[01d164da0d73b7980e76f900.eml:Outbound/default:WIN-SCOF9BOCHV87nWY00000001@WIN-SCOF9BOCHV8] Start message processing. Message details: 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  Sender=[sender@swaks.ex2013.egress-test.com] 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  X-Sender=[sender@swaks.ex2013.egress-test.com] 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  From=[sender@swaks.ex2013.egress-test.com] 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  Recipients=[main@ubuntu.com] 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  Subject=[test Thu, 11 Feb 2016 14:39:45 +0000] 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  X-$Switch=[] 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  Date=[2016-02-11T14:39:45.0000000+00:00] 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  Size=[506] 
2016-02-11T14:39:47.6148867Z	Type=Information     	ID=1180    	  Attachments=[]
2016-02-11T14:40:14.9108868Z	Type=Warning         	ID=1208    	Switch Server operation 'Policy synchronization' failed. SwitchID: [egress.gateway@hasaan.com?sender@swaks.ex2013.egress-test.com]. Exception: [InvalidCredentialException : The account sender@swaks.ex2013.egress-test.com is unknown or the password is invalid.]
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	[01d164da0d73b7980e76f900.eml:Outbound/default:WIN-SCOF9BOCHV87nWY00000001@WIN-SCOF9BOCHV8] DEM processing using policy for SwitchID: [egress.gateway@hasaan.com]. Input: 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  X-$Switch=[] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  InSecurityLabelID=[public] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  Recipients=[main@ubuntu.com] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  Subject=[test Thu, 11 Feb 2016 14:39:45 +0000] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  HasRestrictions=[False] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  AttachmentsSize=[0] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	Output: 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  MessageText=[] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  DEMId=[emailPlain] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  OutSecurityLabelId=[public] 
2016-02-11T14:40:16.8328869Z	Type=Information     	ID=1181    	  Tags=[]
2016-02-11T14:40:17.1618870Z	Type=Information     	ID=1113    	[01d164da0d73b7980e76f900.eml:Outbound/default:WIN-SCOF9BOCHV87nWY00000001@WIN-SCOF9BOCHV8] Outbound message sent to recipient without encryption.
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	[01d164daed29320b3a9ba601.eml:Outbound/default:WIN-SCOF9BOCHV8FRaq00000002@WIN-SCOF9BOCHV8] Start message processing. Message details: 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  Sender=[sender@swaks.ex2013.egress-test.com] 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  X-Sender=[sender@swaks.ex2013.egress-test.com] 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  From=[sender@swaks.ex2013.egress-test.com] 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  Recipients=[main@ubuntu.com] 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  Subject=[test Thu, 11 Feb 2016 14:46:01 +0000] 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  X-$Switch=[] 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  Date=[2016-02-11T14:46:01.0000000+00:00] 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  Size=[506] 
2016-02-11T14:46:01.5218871Z	Type=Information     	ID=1180    	  Attachments=[]
2016-02-11T14:46:25.0368872Z	Type=Warning         	ID=1208    	Switch Server operation 'Policy synchronization' failed. SwitchID: [egress.gateway@hasaan.com?sender@swaks.ex2013.egress-test.com]. Exception: [InvalidCredentialException : The account sender@swaks.ex2013.egress-test.com is unknown or the password is invalid.]
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	[01d164daed29320b3a9ba601.eml:Outbound/default:WIN-SCOF9BOCHV8FRaq00000002@WIN-SCOF9BOCHV8] DEM processing using policy for SwitchID: [egress.gateway@hasaan.com]. Input: 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  X-$Switch=[] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  InSecurityLabelID=[public] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  Recipients=[main@ubuntu.com] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  Subject=[test Thu, 11 Feb 2016 14:46:01 +0000] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  HasRestrictions=[False] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  AttachmentsSize=[0] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	Output: 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  MessageText=[] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  DEMId=[emailPlain] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  OutSecurityLabelId=[public] 
2016-02-11T14:46:25.2398873Z	Type=Information     	ID=1181    	  Tags=[]
